Category: All categories

Week,fried chicken: (Philadelphia PA)
2020-03-08,47
2020-03-15,47
2020-03-22,70
2020-03-29,74
2020-04-05,79
2020-04-12,77
2020-04-19,100
2020-04-26,69
2020-05-03,81
2020-05-10,67
2020-05-17,88
2020-05-24,67
2020-05-31,58
2020-06-07,78
2020-06-14,65
2020-06-21,58
2020-06-28,75
2020-07-05,54
2020-07-12,61
2020-07-19,61
2020-07-26,68
2020-08-02,66
2020-08-09,76
2020-08-16,56
2020-08-23,59
2020-08-30,72
2020-09-06,55
2020-09-13,64
2020-09-20,52
2020-09-27,72
2020-10-04,53
2020-10-11,76
2020-10-18,78
2020-10-25,59
2020-11-01,66
2020-11-08,79
2020-11-15,72
2020-11-22,74
2020-11-29,65
2020-12-06,61
2020-12-13,73
2020-12-20,100
2020-12-27,85
2021-01-03,87
2021-01-10,71
2021-01-17,69
2021-01-24,82
2021-01-31,92
2021-02-07,87
2021-02-14,73
2021-02-21,92
2021-02-28,74
